.imp,arm,arm_id,truncation,n,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max,gt10,gt20,gt50
3,0-3h,1,p05_p95,3439,0.918409641473479,0.569129752752355,0.242353240151625,0.242353240151625,0.242392009056545,0.468623682150779,0.70877439109248,1.34465329645646,2.12747999796611,2.1275280486516,2.1275280486516,0,0,0
3,3-6h,2,none,3241,0.964670586968665,0.280848740709537,0.283353743567193,0.429116410227623,0.569596041928724,0.770941248247138,0.942140749168362,1.05830850101397,1.51624542960219,1.79491376197537,2.33027933118194,0,0,0
3,3-6h,2,p01_p99,3241,0.963922616443954,0.275834688170684,0.429116410227623,0.430314114717014,0.569596041928724,0.770941248247138,0.942140749168362,1.05830850101397,1.51624542960219,1.79435406104411,1.79491376197537,0,0,0
3,3-6h,2,p05_p95,3241,0.959933709801243,0.250269629243344,0.569596041928724,0.569596041928724,0.569596041928724,0.770941248247138,0.942140749168362,1.05830850101397,1.51624542960219,1.51624542960219,1.51624542960219,0,0,0
3,6-12h,3,none,5017,1.01916191094607,0.562631806676112,0.487327957330648,0.555042653866428,0.635075257323873,0.755217999204399,0.818385778000903,0.991498637852326,2.34862499169041,3.2344388912824,5.96429203964145,0,0,0
3,6-12h,3,p01_p99,5017,1.01394312948927,0.534950671416108,0.555042653866428,0.555076405013154,0.635075257323873,0.755217999204399,0.818385778000903,0.991498637852326,2.34862499169041,3.23426807675234,3.2344388912824,0,0,0
3,6-12h,3,p05_p95,5017,0.990147286349133,0.443880393477266,0.635075257323873,0.635075257323873,0.635255238496152,0.755217999204399,0.818385778000903,0.991498637852326,2.34804913418521,2.34862499169041,2.34862499169041,0,0,0
4,0-3h,1,none,3439,0.942575580806994,0.646563114503671,0.182230520866266,0.193362846123195,0.242380761435826,0.468636797909931,0.708703201755429,1.34473173087545,2.12805270996646,3.02400162973395,4.74564378339631,0,0,0
4,0-3h,1,p01_p99,3439,0.936335497552326,0.62113521966042,0.193362846123195,0.193490399131359,0.242380761435826,0.468636797909931,0.708703201755429,1.34473173087545,2.12805270996646,3.0204060186505,3.02400162973395,0,0,0
4,0-3h,1,p05_p95,3439,0.918397618238022,0.569210438287778,0.242380761435826,0.242380761435826,0.242422232891801,0.468636797909931,0.708703201755429,1.34473173087545,2.12805270996646,2.12805270996646,2.12805270996646,0,0,0
4,3-6h,2,none,3241,0.964667176195032,0.280864154497755,0.28334198756575,0.429098864147234,0.569595582080464,0.770943904850018,0.942150448869447,1.05830437345838,1.51625832225064,1.7948895405452,2.33190820216786,0,0,0
4,3-6h,2,p01_p99,3241,0.963916496376272,0.275839987510903,0.429098864147234,0.430300029244883,0.569595582080464,0.770943904850018,0.942150448869447,1.05830437345838,1.51625832225064,1.7943461392129,1.7948895405452,0,0,0
4,3-6h,2,p05_p95,3241,0.95992776968545,0.250271702213189,0.569595582080464,0.569595582080464,0.569595582080464,0.770943904850018,0.942150448869447,1.05830437345838,1.51625832225064,1.51625832225064,1.51625832225064,0,0,0
4,6-12h,3,none,5017,1.01914265162133,0.562651128339928,0.48289501349784,0.554967406955368,0.635043964477802,0.755112036686449,0.818267527216015,0.991552054956057,2.34847180995287,3.23530551898874,5.96856436642161,0,0,0
4,6-12h,3,p01_p99,5017,1.01392972956873,0.534975035037779,0.554967406955368,0.555002381355938,0.635043964477802,0.755112036686449,0.818267527216015,0.991552054956057,2.34847180995287,3.23502272635909,3.23530551898874,0,0,0
4,6-12h,3,p05_p95,5017,0.990118282343519,0.443838688437903,0.635043964477802,0.635043964477802,0.635217428571969,0.755112036686449,0.818267527216015,0.991552054956057,2.34770889868461,2.34847180995287,2.34847180995287,0,0,0
5,0-3h,1,none,3439,0.942598966895338,0.64649101773252,0.182230981455748,0.193369122876031,0.242352526298192,0.468622925014381,0.7087775910836,1.3446518620136,2.1275509656457,3.02473899183032,4.74359194683008,0,0,0
5,0-3h,1,p01_p99,3439,0.93636963205198,0.621104345095458,0.193369122876031,0.193496633161863,0.242352526298192,0.468622925014381,0.7087775910836,1.3446518620136,2.1275509656457,3.02119531154573,3.02473899183032,0,0,0
5,0-3h,1,p05_p95,3439,0.918411086338281,0.569132860436167,0.242352526298192,0.242352526298192,0.242391179982965,0.468622925014381,0.7087775910836,1.3446518620136,2.1275022544856,2.1275509656457,2.1275509656457,0,0,0
5,3-6h,2,none,3241,0.964652347730621,0.280746989705247,0.283327335122351,0.429048571294128,0.5695830869142,0.771085343121205,0.942247464410629,1.05791409165481,1.51581787548085,1.7947847581907,2.32594933064774,0,0,0
5,3-6h,2,p01_p99,3241,0.963911580779345,0.275762807179733,0.429048571294128,0.430194956071321,0.5695830869142,0.771085343121205,0.942247464410629,1.05791409165481,1.51581787548085,1.7942115006408,1.7947847581907,0,0,0
5,3-6h,2,p05_p95,3241,0.95991914743202,0.250191885376719,0.5695830869142,0.5695830869142,0.5695830869142,0.771085343121205,0.942247464410629,1.05791409165481,1.51581787548085,1.51581787548085,1.51581787548085,0,0,0
5,6-12h,3,none,5017,1.01914078943308,0.56252243047885,0.489453661692448,0.555032575101595,0.635099645396689,0.755194997490336,0.818254109330992,0.991430132829752,2.34832188296152,3.23251147696336,5.95804195364737,0,0,0
5,6-12h,3,p01_p99,5017,1.01391758285899,0.53484259521234,0.555032575101595,0.555061714870106,0.635099645396689,0.755194997490336,0.818254109330992,0.991430132829752,2.34832188296152,3.23245596479683,3.23251147696336,0,0,0
5,6-12h,3,p05_p95,5017,0.990133232518926,0.443827376612511,0.635099645396689,0.635099645396689,0.635282348437947,0.755194997490336,0.818254109330992,0.991430132829752,2.34800709172031,2.34832188296152,2.34832188296152,0,0,0
