.imp,variable,variable_label,level,arm,arm_id,n_level,pct_level,weighted_pct_level,min_n_across_arms,min_weighted_pct_across_arms,zero_count_arm_n
2,race_group,Race group,OTHER,6-12h,3,190,0.0378712377915089,0.0391475985388355,131,0.0391475985388355,0
2,race_group,Race group,UNKNOWN,0-3h,1,736,0.214015702239023,0.174301511706459,613,0.161497869940977,0
2,race_group,Race group,UNKNOWN,3-6h,2,613,0.189139154581919,0.187228535661834,613,0.161497869940977,0
2,race_group,Race group,UNKNOWN,6-12h,3,644,0.128363563882798,0.161497869940977,613,0.161497869940977,0
2,race_group,Race group,WHITE,0-3h,1,2133,0.620238441407386,0.63952283846828,2048,0.632457290533841,0
2,race_group,Race group,WHITE,3-6h,2,2048,0.631903733415613,0.632457290533841,2048,0.632457290533841,0
2,race_group,Race group,WHITE,6-12h,3,3333,0.664341239784732,0.654889486789949,2048,0.632457290533841,0
3,race_group,Race group,ASIAN,0-3h,1,97,0.0282058738005234,0.0271532992459635,83,0.0271532992459635,0
3,race_group,Race group,ASIAN,3-6h,2,83,0.0256093798210429,0.0286110857031426,83,0.0271532992459635,0
3,race_group,Race group,ASIAN,6-12h,3,172,0.0342834363165238,0.0304662975139963,83,0.0271532992459635,0
3,race_group,Race group,BLACK,0-3h,1,208,0.0604826984588543,0.0843773929414991,208,0.0793654375685986,0
3,race_group,Race group,BLACK,3-6h,2,265,0.0817648873804381,0.0793654375685986,208,0.0793654375685986,0
3,race_group,Race group,BLACK,6-12h,3,499,0.0994618297787522,0.0825777163961932,208,0.0793654375685986,0
3,race_group,Race group,HISPANIC,0-3h,1,114,0.0331491712707182,0.0322505611223442,101,0.0314224986368758,0
3,race_group,Race group,HISPANIC,3-6h,2,101,0.031163221228016,0.0321668895844306,101,0.0314224986368758,0
3,race_group,Race group,HISPANIC,6-12h,3,179,0.0356786924456847,0.0314224986368758,101,0.0314224986368758,0
3,race_group,Race group,OTHER,0-3h,1,151,0.0439081128234952,0.0423945786501363,131,0.0391473480449048,0
3,race_group,Race group,OTHER,3-6h,2,131,0.0404196235729713,0.040161646884584,131,0.0391473480449048,0
3,race_group,Race group,OTHER,6-12h,3,190,0.0378712377915089,0.0391473480449048,131,0.0391473480449048,0
3,race_group,Race group,UNKNOWN,0-3h,1,736,0.214015702239023,0.174307390808043,613,0.161499608169569,0
3,race_group,Race group,UNKNOWN,3-6h,2,613,0.189139154581919,0.187240039682203,613,0.161499608169569,0
3,race_group,Race group,UNKNOWN,6-12h,3,644,0.128363563882798,0.161499608169569,613,0.161499608169569,0
3,race_group,Race group,WHITE,0-3h,1,2133,0.620238441407386,0.639516777232014,2048,0.632454900577042,0
3,race_group,Race group,WHITE,3-6h,2,2048,0.631903733415613,0.632454900577042,2048,0.632454900577042,0
3,race_group,Race group,WHITE,6-12h,3,3333,0.664341239784732,0.654886531238461,2048,0.632454900577042,0
4,race_group,Race group,ASIAN,0-3h,1,97,0.0282058738005234,0.0271529582153864,83,0.0271529582153864,0
4,race_group,Race group,ASIAN,3-6h,2,83,0.0256093798210429,0.028610600881545,83,0.0271529582153864,0
4,race_group,Race group,ASIAN,6-12h,3,172,0.0342834363165238,0.0304671655653257,83,0.0271529582153864,0
4,race_group,Race group,BLACK,0-3h,1,208,0.0604826984588543,0.0843804922825431,208,0.0793670385233337,0
4,race_group,Race group,BLACK,3-6h,2,265,0.0817648873804381,0.0793670385233337,208,0.0793670385233337,0
4,race_group,Race group,BLACK,6-12h,3,499,0.0994618297787522,0.0825782986074679,208,0.0793670385233337,0
4,race_group,Race group,HISPANIC,0-3h,1,114,0.0331491712707182,0.0322507466709374,101,0.0314229365156201,0
4,race_group,Race group,HISPANIC,3-6h,2,101,0.031163221228016,0.0321689561572261,101,0.0314229365156201,0
4,race_group,Race group,HISPANIC,6-12h,3,179,0.0356786924456847,0.0314229365156201,101,0.0314229365156201,0
4,race_group,Race group,OTHER,0-3h,1,151,0.0439081128234952,0.0423966791331773,131,0.0391472842456972,0
4,race_group,Race group,OTHER,3-6h,2,131,0.0404196235729713,0.0401614064238016,131,0.0391472842456972,0
4,race_group,Race group,OTHER,6-12h,3,190,0.0378712377915089,0.0391472842456972,131,0.0391472842456972,0
4,race_group,Race group,UNKNOWN,0-3h,1,736,0.214015702239023,0.174316477153699,613,0.161495710558485,0
4,race_group,Race group,UNKNOWN,3-6h,2,613,0.189139154581919,0.187239358345045,613,0.161495710558485,0
4,race_group,Race group,UNKNOWN,6-12h,3,644,0.128363563882798,0.161495710558485,613,0.161495710558485,0
4,race_group,Race group,WHITE,0-3h,1,2133,0.620238441407386,0.639502646544257,2048,0.632452639669048,0
4,race_group,Race group,WHITE,3-6h,2,2048,0.631903733415613,0.632452639669048,2048,0.632452639669048,0
4,race_group,Race group,WHITE,6-12h,3,3333,0.664341239784732,0.654888604507405,2048,0.632452639669048,0
5,race_group,Race group,ASIAN,0-3h,1,97,0.0282058738005234,0.0271494250223288,83,0.0271494250223288,0
5,race_group,Race group,ASIAN,3-6h,2,83,0.0256093798210429,0.028605155419917,83,0.0271494250223288,0
5,race_group,Race group,ASIAN,6-12h,3,172,0.0342834363165238,0.0304655782707357,83,0.0271494250223288,0
5,race_group,Race group,BLACK,0-3h,1,208,0.0604826984588543,0.0843772975701184,208,0.0793640035298418,0
5,race_group,Race group,BLACK,3-6h,2,265,0.0817648873804381,0.0793640035298418,208,0.0793640035298418,0
5,race_group,Race group,BLACK,6-12h,3,499,0.0994618297787522,0.0825792949735251,208,0.0793640035298418,0
5,race_group,Race group,HISPANIC,0-3h,1,114,0.0331491712707182,0.0322509563136338,101,0.0314206659401956,0
5,race_group,Race group,HISPANIC,3-6h,2,101,0.031163221228016,0.0321716086999401,101,0.0314206659401956,0
5,race_group,Race group,HISPANIC,6-12h,3,179,0.0356786924456847,0.0314206659401956,101,0.0314206659401956,0
5,race_group,Race group,OTHER,0-3h,1,151,0.0439081128234952,0.0423945146714166,131,0.0391472995160307,0
5,race_group,Race group,OTHER,3-6h,2,131,0.0404196235729713,0.0401618971463556,131,0.0391472995160307,0
5,race_group,Race group,OTHER,6-12h,3,190,0.0378712377915089,0.0391472995160307,131,0.0391472995160307,0
5,race_group,Race group,UNKNOWN,0-3h,1,736,0.214015702239023,0.174307300028082,613,0.161499167399303,0
5,race_group,Race group,UNKNOWN,3-6h,2,613,0.189139154581919,0.187229774197255,613,0.161499167399303,0
5,race_group,Race group,UNKNOWN,6-12h,3,644,0.128363563882798,0.161499167399303,613,0.161499167399303,0
5,race_group,Race group,WHITE,0-3h,1,2133,0.620238441407386,0.639520506394421,2048,0.632467561006691,0
5,race_group,Race group,WHITE,3-6h,2,2048,0.631903733415613,0.632467561006691,2048,0.632467561006691,0
5,race_group,Race group,WHITE,6-12h,3,3333,0.664341239784732,0.65488799390021,2048,0.632467561006691,0
1,admission_type_group,Admission type,ELECTIVE_SURGICAL,0-3h,1,561,0.163128816516429,0.0935165702582418,178,0.0892703225993678,0
1,admission_type_group,Admission type,ELECTIVE_SURGICAL,3-6h,2,190,0.05862388151805,0.0892703225993678,178,0.0892703225993678,0
1,admission_type_group,Admission type,ELECTIVE_SURGICAL,6-12h,3,178,0.0354793701415188,0.102447622744187,178,0.0892703225993678,0
1,admission_type_group,Admission type,EMERGENCY,0-3h,1,1301,0.378307647571969,0.589811648123865,1301,0.589811648123865,0
1,admission_type_group,Admission type,EMERGENCY,3-6h,2,2215,0.68343103980253,0.607604756321515,1301,0.589811648123865,0
1,admission_type_group,Admission type,EMERGENCY,6-12h,3,3794,0.756228822005182,0.593803149045327,1301,0.589811648123865,0
1,admission_type_group,Admission type,OBSERVATION,0-3h,1,252,0.073277115440535,0.102935920110948,252,0.102935920110948,0
1,admission_type_group,Admission type,OBSERVATION,3-6h,2,264,0.0814563406356063,0.104908113777425,252,0.102935920110948,0
1,admission_type_group,Admission type,OBSERVATION,6-12h,3,531,0.105840143512059,0.105304582968175,252,0.102935920110948,0
1,admission_type_group,Admission type,URGENT,0-3h,1,1325,0.385286420471067,0.213735861506945,514,0.198216807301693,0
1,admission_type_group,Admission type,URGENT,3-6h,2,572,0.176488738043814,0.198216807301693,514,0.198216807301693,0
1,admission_type_group,Admission type,URGENT,6-12h,3,514,0.10245166434124,0.198444645242311,514,0.198216807301693,0
2,admission_type_group,Admission type,ELECTIVE_SURGICAL,0-3h,1,561,0.163128816516429,0.0935001757837393,178,0.0892854824690366,0
2,admission_type_group,Admission type,ELECTIVE_SURGICAL,3-6h,2,190,0.05862388151805,0.0892854824690366,178,0.0892854824690366,0
2,admission_type_group,Admission type,ELECTIVE_SURGICAL,6-12h,3,178,0.0354793701415188,0.10247946589739,178,0.0892854824690366,0
2,admission_type_group,Admission type,EMERGENCY,0-3h,1,1301,0.378307647571969,0.589824069051933,1301,0.589824069051933,0
2,admission_type_group,Admission type,EMERGENCY,3-6h,2,2215,0.68343103980253,0.607628183194522,1301,0.589824069051933,0
2,admission_type_group,Admission type,EMERGENCY,6-12h,3,3794,0.756228822005182,0.593761592680664,1301,0.589824069051933,0
2,admission_type_group,Admission type,OBSERVATION,0-3h,1,252,0.073277115440535,0.102932851599883,252,0.102932851599883,0
2,admission_type_group,Admission type,OBSERVATION,3-6h,2,264,0.0814563406356063,0.104915120205573,252,0.102932851599883,0
2,admission_type_group,Admission type,OBSERVATION,6-12h,3,531,0.105840143512059,0.105302520361969,252,0.102932851599883,0
2,admission_type_group,Admission type,URGENT,0-3h,1,1325,0.385286420471067,0.213742903564445,514,0.198171214130869,0
2,admission_type_group,Admission type,URGENT,3-6h,2,572,0.176488738043814,0.198171214130869,514,0.198171214130869,0
2,admission_type_group,Admission type,URGENT,6-12h,3,514,0.10245166434124,0.198456421059977,514,0.198171214130869,0
